Angle (deg),O-Si-O Concentration (%),O-Al-O Concentration (%)
0.5,0.0000,0.0000
1.5,0.0000,0.0000
2.5,0.0000,0.0000
3.5,0.0000,0.0000
4.5,0.0000,0.0000
5.5,0.0000,0.0000
6.5,0.0000,0.0000
7.5,0.0000,0.0000
8.5,0.0000,0.0000
9.5,0.0000,0.0000
10.5,0.0000,0.0000
11.5,0.0000,0.0000
12.5,0.0000,0.0000
13.5,0.0000,0.0000
14.5,0.0000,0.0000
15.5,0.0000,0.0000
16.5,0.0000,0.0000
17.5,0.0000,0.0000
18.5,0.0000,0.0000
19.5,0.0000,0.0000
20.5,0.0000,0.0000
21.5,0.0000,0.0000
22.5,0.0000,0.0000
23.5,0.0000,0.0000
24.5,0.0000,0.0000
25.5,0.0000,0.0000
26.5,0.0000,0.0000
27.5,0.0000,0.0000
28.5,0.0000,0.0000
29.5,0.0000,0.0000
30.5,0.0000,0.0000
31.5,0.0000,0.0000
32.5,0.0000,0.0000
33.5,0.0000,0.0000
34.5,0.0000,0.0000
35.5,0.0000,0.0000
36.5,0.0000,0.0000
37.5,0.0000,0.0000
38.5,0.0000,0.0000
39.5,0.0000,0.0000
40.5,0.0000,0.0000
41.5,0.0000,0.0000
42.5,0.0000,0.0000
43.5,0.0000,0.0000
44.5,0.0000,0.0000
45.5,0.0000,0.0000
46.5,0.0000,0.0000
47.5,0.0000,0.0000
48.5,0.0000,0.0000
49.5,0.0000,0.0000
50.5,0.0000,0.0000
51.5,0.0000,0.0000
52.5,0.0000,0.0000
53.5,0.0000,0.0000
54.5,0.0000,0.0000
55.5,0.0000,0.0000
56.5,0.0000,0.0000
57.5,0.0000,0.0000
58.5,0.0000,0.0000
59.5,0.0000,0.0000
60.5,0.0000,0.0000
61.5,0.0000,0.0000
62.5,0.0000,0.0000
63.5,0.0000,0.0000
64.5,0.0000,0.0000
65.5,0.0000,0.0000
66.5,0.0000,0.0000
67.5,0.0000,0.0000
68.5,0.0000,0.0000
69.5,0.0000,0.0000
70.5,0.0000,0.0300
71.5,0.0000,0.0300
72.5,0.0000,0.1199
73.5,0.0000,0.0899
74.5,0.0000,0.0000
75.5,0.0000,0.0899
76.5,0.0000,0.1798
77.5,0.0529,0.2697
78.5,0.0000,0.1498
79.5,0.0000,0.1498
80.5,0.0264,0.3896
81.5,0.0264,0.8091
82.5,0.0529,0.5694
83.5,0.0529,0.5993
84.5,0.1321,0.5394
85.5,0.1850,0.9889
86.5,0.2114,0.6293
87.5,0.2643,1.0488
88.5,0.4228,0.8391
89.5,0.4757,1.5283
90.5,0.8457,1.5583
91.5,0.6607,1.5883
92.5,0.7400,2.2176
93.5,1.1099,2.5472
94.5,1.3478,2.2775
95.5,2.0349,2.4873
96.5,2.5370,2.8768
97.5,2.6956,2.3974
98.5,2.8277,3.0866
99.5,3.0391,2.4273
100.5,3.0655,2.5772
101.5,2.9863,2.6671
102.5,3.5412,2.6371
103.5,4.1490,2.5772
104.5,3.4884,2.5772
105.5,3.5941,2.3974
106.5,4.2812,2.4573
107.5,4.1755,2.9967
108.5,3.9641,2.8469
109.5,3.3827,2.8469
110.5,3.6734,2.2475
111.5,4.1226,2.3374
112.5,3.4884,1.9179
113.5,2.9863,1.8879
114.5,3.0391,1.9778
115.5,3.4619,2.1876
116.5,2.5370,2.1576
117.5,2.4313,1.8280
118.5,1.9027,1.6782
119.5,1.9292,1.5583
120.5,1.7442,1.4085
121.5,1.4271,1.7681
122.5,1.6385,1.1687
123.5,1.1099,1.1987
124.5,1.3742,1.2586
125.5,0.9778,1.2586
126.5,0.5021,0.9889
127.5,0.7664,0.8690
128.5,0.5285,0.9290
129.5,0.6342,0.6892
130.5,0.3436,0.8091
131.5,0.2907,0.5993
132.5,0.3700,0.4195
133.5,0.2907,0.5094
134.5,0.3700,0.3596
135.5,0.2643,0.2697
136.5,0.2114,0.4495
137.5,0.1321,0.2397
138.5,0.1321,0.4195
139.5,0.1850,0.3296
140.5,0.0793,0.3896
141.5,0.0793,0.3896
142.5,0.0793,0.1798
143.5,0.0529,0.2997
144.5,0.0264,0.1798
145.5,0.0264,0.2098
146.5,0.0529,0.1498
147.5,0.0529,0.1199
148.5,0.0529,0.1498
149.5,0.0000,0.1199
150.5,0.0000,0.1798
151.5,0.0264,0.3296
152.5,0.0000,0.2098
153.5,0.0000,0.1798
154.5,0.0529,0.2397
155.5,0.0000,0.2997
156.5,0.0000,0.1798
157.5,0.0000,0.1199
158.5,0.0000,0.2098
159.5,0.0000,0.1199
160.5,0.0264,0.0599
161.5,0.0264,0.0599
162.5,0.0264,0.0300
163.5,0.0000,0.1199
164.5,0.0000,0.1199
165.5,0.0000,0.0599
166.5,0.0264,0.0300
167.5,0.0264,0.1798
168.5,0.0264,0.0300
169.5,0.0000,0.0899
170.5,0.0000,0.0300
171.5,0.0000,0.0599
172.5,0.0264,0.0300
173.5,0.0000,0.0300
174.5,0.0000,0.0000
175.5,0.0000,0.0000
176.5,0.0000,0.0000
177.5,0.0000,0.0000
178.5,0.0000,0.0000
179.5,0.0000,0.0000
